Data,Situation,spam
"পাচ বছর ভালবেসেও তোমাকে পেলাম না, একটি বারের জন্য ছুঁয়ে ও দেখা হল না।",dep,1
আজ যদি তুমি আামার পাশে থাকতে তাহলে হয়তো এই গান টা শুনা হতো না যেখানে থাকো ভালো থাকো,dep,1
হারিয়ে গেছো তুমি,dep,1
"স্মৃতিহত্যা করতে পারলে,এ শহরে কেউ আর আত্মহত্যা করতো না",dep,1
আজ এই শহরে হাজার জীবন্ত লাশ ঘুরে বেড়ায়,dep,1
সে তো আমার মৃত্যু যন্ত্রনা অনুভব,dep,1
এই গানটি শুনলে প্রিয় মানুষটিকে মনে পড়ে যায়,dep,1
বুক পকেটে ভরে পথে পথে ঘুরেছি ঠিকানা বিহীন!,dep,1
ভালোবাসা মানে মনের মৃত্যু,dep,1
পিছনে ফিরে দেখ তুমি,dep,1
জন্মান্তর যদি মিথ্যা হয় এই হবে শেষ দেখা,dep,1
কিন্তু মানুষের স্মৃতি বাঁচতে দেয় না,dep,1
এই হবে শেষ দেখা,dep,1
অতীত কখনো সামনে আগাতে দেয় না।,dep,1
"অতীত চিটার, বাটপার কিংবা ধোঁকাবাজ জ্বালিয়ে পুড়ে মারতে থাকে প্রতিটা মুহূর্তে",dep,1
তবু মানুষ তার জন্যই অপেক্ষা করে যাকে পাওয়া আর কোনদিনও সম্ভব নয়,dep,1
ভালোবাসার মানুষটি ফিরে আসবেনা জেনেও তার জন্য অপেক্ষা করে যাওয়ার নামই তো ভালোবাসা,dep,1
আহারে প্রিয় মানুষটাকে খুব মনে পড়ে গেল।,dep,1
কিছু লাশ আজও তার খুনীকে ভালোবাসে,dep,1
আমরাও লিটন ভাইয়ের মত টুপ করে একদিন চলে যাবো,dep,1
বাস্তবতার কাছে অনেক ঘুড়িই বিলীন হয়ে যায়। তারপরেও জীবন বয়ে যায়,dep,1
যখনি গানটা শুনি ভিতরটা কেঁদে উঠে,dep,1
"মনের মাঝে ডিপ্রেশন, ঠোঁটের কোণে হাসি, সবকিছু নিয়ে মিথ্যার শহরে বেশ ভালোই আছি",dep,1
তুমি আমার রক্তে মিশে গেছো... রক্ত কিভাবে ধুয়ে ফেলতে হয় তা আমার জানা নেই,dep,1
ছেড়ে যেওনা,dep,1
আসলেই মানুষকে চেনা বড় দায়,dep,1
আজ নিকোটিনে হইছে কালো ভেতর ঘরের সব,dep,1
তবে তার স্মৃতি আঁকড়ে ধরে রেখে জীবনে চলা খুবই কষ্টকর,dep,1
তাকে হারানোর ব্যাথা কখনোই ভূলে যাওয়া সম্ভব হবে না,dep,1
মনে হয় জীবন এ তুমি ছাড়া আর কিছুই নাই,dep,1
নেশা শুধু নিকোটিনে থাকে না,dep,1
গল্পটা না হয় অপ্রকাশিতই থাক,dep,1
তোমাকে পেয়ে গেলে এতো সুন্দর গান টা শোনা হইতো না প্রিয়,dep,1
আইজ আমার ভেতর জুড়েই শুধু নেশার বসবাস,dep,1
